keyword,category_code,category_name,priority
# ── F001 카페/음료 ──────────────────────────
스타벅스,F001,카페/음료,10
이디야,F001,카페/음료,10
메가커피,F001,카페/음료,10
컴포즈,F001,카페/음료,10
빽다방,F001,카페/음료,10
투썸플레이스,F001,카페/음료,10
탐앤탐스,F001,카페/음료,10
커피빈,F001,카페/음료,10
파스쿠찌,F001,카페/음료,10
엔제리너스,F001,카페/음료,10
할리스,F001,카페/음료,10
카페드림,F001,카페/음료,10
오가다,F001,카페/음료,10
카페베네,F001,카페/음료,10
달콤커피,F001,카페/음료,10
더벤티,F001,카페/음료,10
쥬스킹,F001,카페/음료,10
주스바,F001,카페/음료,10
smoothie,F001,카페/음료,10
카페,F001,카페/음료,5
커피,F001,카페/음료,5
tea,F001,카페/음료,5
음료,F001,카페/음료,5
OHU,F001,카페/음료,10
오후카페,F001,카페/음료,10
라마띠네,F001,카페/음료,10
# ── F002 식당/푸드코트 ────────────────────────
학생식당,F002,식당/푸드코트,10
교직원식당,F002,식당/푸드코트,10
구내식당,F002,식당/푸드코트,10
푸드코트,F002,식당/푸드코트,10
학생회관,F002,식당/푸드코트,8
생협식당,F002,식당/푸드코트,10
컬처푸드,F002,식당/푸드코트,10
사나푸드,F002,식당/푸드코트,10
동원홈푸드,F002,식당/푸드코트,10
아워홈,F002,식당/푸드코트,10
제이에스지,F002,식당/푸드코트,10
산들푸드,F002,식당/푸드코트,10
더비즈랩,F002,식당/푸드코트,10
정오아카데미,F002,식당/푸드코트,10
캐터링,F002,식당/푸드코트,8
식당,F002,식당/푸드코트,5
카이마루,F002,식당/푸드코트,10
# ── F003 편의점 ──────────────────────────────
CU,F003,편의점,10
GS25,F003,편의점,10
세븐일레븐,F003,편의점,10
이마트24,F003,편의점,10
미니스톱,F003,편의점,10
편의점,F003,편의점,5
# ── F004 배달/패스트푸드/간식 ──────────────────
맘스터치,F004,패스트푸드/간식,10
버거킹,F004,패스트푸드/간식,10
롯데리아,F004,패스트푸드/간식,10
맥도날드,F004,패스트푸드/간식,10
서브웨이,F004,패스트푸드/간식,10
역전우동,F004,패스트푸드/간식,10
피자,F004,패스트푸드/간식,8
치킨,F004,패스트푸드/간식,8
분식,F004,패스트푸드/간식,8
도시락,F004,패스트푸드/간식,8
베이커리,F004,패스트푸드/간식,8
빵집,F004,패스트푸드/간식,8
와플,F004,패스트푸드/간식,8
쌀빵,F004,패스트푸드/간식,8
브레댄코,F004,패스트푸드/간식,10
파리바게뜨,F004,패스트푸드/간식,10
뚜레쥬르,F004,패스트푸드/간식,10
던킨,F004,패스트푸드/간식,10
배스킨,F004,패스트푸드/간식,10
1847,F004,패스트푸드/간식,10
캘리포니아,F004,패스트푸드/간식,8
# ── F005 교통/이동 ──────────────────────────
셔틀,F005,교통/이동,10
shuttle,F005,교통/이동,10
등교,F005,교통/이동,10
하교,F005,교통/이동,10
버스,F005,교통/이동,8
# ── F006 생활/기타 ──────────────────────────
서점,F006,생활/기타,10
문구,F006,생활/기타,10
약국,F006,생활/기타,10
마트,F006,생활/기타,8
슈퍼,F006,생활/기타,8
3분마트,F006,생활/기타,10
# ── F007 식권 전용 ──────────────────────────
조식,F007,식권전용,10
중식,F007,식권전용,10
석식,F007,식권전용,10
천원의 아침밥,F007,식권전용,10
천원의아침밥,F007,식권전용,10
기숙사,F007,식권전용,8
생활관,F007,식권전용,8
